Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S9000000000,Black Vulture,Coragyps atratus,2950,1,US-NY,Kings,L109516,Prospect Park,40.6602,-73.9690,2024-01-03,11:15 AM,Traveling,142,1,2.85,,1,,,,
S9000000000,Mourning Dove,Zenaida macroura,1100,2,US-NY,Kings,L109516,Prospect Park,40.6602,-73.9690,2024-01-03,11:15 AM,Traveling,142,1,2.85,,1,,,,
S9000000000,House Sparrow,Passer domesticus,4900,7,US-NY,Kings,L109516,Prospect Park,40.6602,-73.9690,2024-01-03,11:15 AM,Traveling,142,1,2.85,,1,,,,
S9000000000,American Wigeon,Mareca americana,340,1,US-NY,Kings,L109516,Prospect Park,40.6602,-73.9690,2024-01-03,11:15 AM,Traveling,142,1,2.85,,1,,,,612000000
S9000000000,European Starling,Sturnus vulgaris,4800,8,US-NY,Kings,L109516,Prospect Park,40.6602,-73.9690,2024-01-03,11:15 AM,Traveling,142,1,2.85,,1,,,,
S9000000000,Red-shouldered Hawk,Buteo lineatus,3200,6,US-NY,Kings,L109516,Prospect Park,40.6602,-73.9690,2024-01-03,11:15 AM,Traveling,142,1,2.85,,1,,,,
S9000000000,Common Raven,Corvus corax,4070,2,US-NY,Kings,L109516,Prospect Park,40.6602,-73.9690,2024-01-03,11:15 AM,Traveling,142,1,2.85,,1,,,,
S9000000000,Song Sparrow,Melospiza melodia,5230,6,US-NY,Kings,L109516,Prospect Park,40.6602,-73.9690,2024-01-03,11:15 AM,Traveling,142,1,2.85,,1,,,,
S9000000000,White-breasted Nuthatch,Sitta carolinensis,4300,14,US-NY,Kings,L109516,Prospect Park,40.6602,-73.9690,2024-01-03,11:15 AM,Traveling,142,1,2.85,,1,,Feeding young just out of the nest.,,
S9000000000,Hairy Woodpecker,Dryobates villosus,3570,7,US-NY,Kings,L109516,Prospect Park,40.6602,-73.9690,2024-01-03,11:15 AM,Traveling,142,1,2.85,,1,,,,
S9000000000,Rock Pigeon,Columba livia,1000,1,US-NY,Kings,L109516,Prospect Park,40.6602,-73.9690,2024-01-03,11:15 AM,Traveling,142,1,2.85,,1,,[name:Stumpy] one-legged regular,,
S9000000000,Yellow-rumped Warbler,Setophaga coronata,5960,13,US-NY,Kings,L109516,Prospect Park,40.6602,-73.9690,2024-01-03,11:15 AM,Traveling,142,1,2.85,,1,,,,
S9000000000,Barred Owl,Strix varia,3340,1,US-NY,Kings,L109516,Prospect Park,40.6602,-73.9690,2024-01-03,11:15 AM,Traveling,142,1,2.85,,1,,Pair working a nest cavity.,,
S9000000000,Blue Jay,Cyanocitta cristata,4000,5,US-NY,Kings,L109516,Prospect Park,40.6602,-73.9690,2024-01-03,11:15 AM,Traveling,142,1,2.85,,1,,,,
S9000000000,Red-breasted Merganser,Mergus serrator,450,1,US-NY,Kings,L109516,Prospect Park,40.6602,-73.9690,2024-01-03,11:15 AM,Traveling,142,1,2.85,,1,,,,
S9000000000,American Black Duck,Anas rubripes,365,5,US-NY,Kings,L109516,Prospect Park,40.6602,-73.9690,2024-01-03,11:15 AM,Traveling,142,1,2.85,,1,,,,
S9000000000,Green-winged Teal,Anas crecca,380,1,US-NY,Kings,L109516,Prospect Park,40.6602,-73.9690,2024-01-03,11:15 AM,Traveling,142,1,2.85,,1,,First of year here.,,
S9000000000,Red-tailed Hawk,Buteo jamaicensis,3250,8,US-NY,Kings,L109516,Prospect Park,40.6602,-73.9690,2024-01-03,11:15 AM,Traveling,142,1,2.85,,1,,,,612000001
S9000000000,Canada Goose,Branta canadensis,257,1,US-NY,Kings,L109516,Prospect Park,40.6602,-73.9690,2024-01-03,11:15 AM,Traveling,142,1,2.85,,1,,,,
S9000000000,Black-capped Chickadee,Poecile atricapillus,4200,12,US-NY,Kings,L109516,Prospect Park,40.6602,-73.9690,2024-01-03,11:15 AM,Traveling,142,1,2.85,,1,,,,
